TaskID,ProjectID,ProjectDiscipline,Status,Description,Location,Created,Target,Actual,Delay,Priority,Overdue,RootCause,Risk,Hours,Comments,AssignedTo,TeamCapacityHours
T-1001,PRJ021,PRJ-MEP,Closed,Underground Utilities,Lobby,07/04/2024,07/22/2024,07/24/2024,2.0,High,True,Labor Shortage,Low,106.7,Delay of 2 day(s) associated with labor shortage,Rajan Mehta,40
T-1002,PRJ094,PRJ-INT,In Progress,Plumbing Work,North Wing,11/22/2025,11/26/2025,,3.0,Medium,False,Weather Delay,Medium,52.3,Delay of 3 day(s) associated with weather delay,Asha Verma,40
T-1003,PRJ050,PRJ-ARC,On Hold,Flooring Work,Roof,11/13/2024,12/06/2024,,-5.0,High,False,None,Low,15.0,Completed 5 day(s) ahead of schedule,Dev Kapoor,40
T-1004,PRJ085,PRJ-INT,Closed,Painting and Finishes,Basement,04/20/2025,05/20/2025,05/13/2025,-7.0,Medium,False,None,Low,22.0,Completed 7 day(s) ahead of schedule,Priya Nair,40
T-1005,PRJ053,PRJ-MEP,Open,Concrete Work,Mechanical,05/24/2025,06/15/2025,,3.0,Low,False,Weather Delay,Medium,117.6,Delay of 3 day(s) associated with weather delay,Suresh Kumar,40
T-1006,PRJ061,PRJ-SITE,Closed,Site Preparation,North Wing,04/28/2025,05/24/2025,05/17/2025,-7.0,High,False,None,Low,63.0,Completed 7 day(s) ahead of schedule,Meena Pillai,30
T-1007,PRJ017,PRJ-INT,In Progress,Underground Utilities,South Facade,03/15/2025,03/24/2025,,4.0,High,False,Material Delay,High,52.5,Delay of 4 day(s) associated with material delay,Arjun Desai,40
T-1008,PRJ034,PRJ-STR,Open,Curtain Wall Installation,Grid A5,12/16/2024,01/15/2025,,1.0,High,False,Labor Shortage,Low,124.3,Delay of 1 day(s) associated with labor shortage,Lakshmi Iyer,40
T-1009,PRJ073,PRJ-SITE,Open,Electrical Installation,Lobby,04/17/2025,05/05/2025,,-1.0,Low,False,None,Medium,113.0,Completed 1 day(s) ahead of schedule,Rajan Mehta,40
T-1010,PRJ085,PRJ-INT,Closed,Concrete Work,North Wing,10/22/2025,11/12/2025,11/16/2025,4.0,Medium,True,Equipment Failure,Medium,75.7,Delay of 4 day(s) associated with equipment failure,Asha Verma,40
T-1011,PRJ009,PRJ-ARC,Open,Underground Utilities,North Wing,10/11/2024,11/04/2024,,0.0,Medium,False,None,Medium,66.2,Completed on schedule,Dev Kapoor,40
T-1012,PRJ008,PRJ-ARC,In Progress,Structural Installation,West Yard,01/07/2025,01/27/2025,,-5.0,High,False,None,Medium,71.0,Completed 5 day(s) ahead of schedule,Priya Nair,40
